樽（たる） 木桶、桶 
敷地（しきち） 占地、用地 
繰り広げる（くりひろげる） 展開、開展 
本場（ほんば） 原產地、本地的、正宗的 
訪れる（おとずれる） 造訪、拜訪、訪問 
節目（ふしめ） 階段 
設置する（せっちする） 設置 
漂う（ただよう） 飄蕩、瀰漫、洋溢、徘徊 
テント 帳篷 
連日（れんじつ） 連日、接連幾天 
のしかかる 壓在～上、重擔壓在心頭 
殺到する（さっとうする） 蜂擁而至、紛紛到來、湧向 
首相（しゅしょう） 首相、內閣總理大臣 
マスコミ 大眾媒體 
凍る（こおる） 結凍、凍、結冰 
初詣（はつもうで） 新年第一次參拜神社 
聖火リレー（せいかりれー） 奧運聖火傳遞 
選挙（せんきょ） 選舉 
従来（じゅうらい） 過去、以前、直到現在 
目立つ（めだつ） 醒目、注目、顯眼 
姿勢（しせい） 姿勢、姿態、態度 
屋根（やね） 房蓋、屋頂 
博物館（はくぶつかん） 博物館 
細い（ほそい） 細的 
コラム 專欄 
工芸品（こうげいひん） 工藝品 
介護靴（かいごぐつ） 護士鞋 
経緯（けいい） 經緯、原委、事情的經過 
逃れる（のがれる） 逃避（責任） 
辞任する（じにんする） 辭任、辭職 
電源プラグ（でんげんぷらぐ） 電源插頭 
提案する（ていあんする） 提議、提案 
乳酸菌（にゅうさんきん） 乳酸菌 
整腸薬（せいちょうやく） 腸胃藥、整腸藥
豊か（ゆたか） 豐富、豐裕 
バレリーナ 芭蕾舞女演員 
グルメ 美食家、美食家、美食家 
かび臭い（かびくさい） 黴味、陳腐、陳舊 
薄暗い（うすぐらい） 暗淡、昏暗 
盆栽（ぼんさい） 盆栽 
振袖（ふりそで） 未婚女性所穿著的和服 
満載（まんさい） 滿載(貨物)、登滿(消息) 
見物客（けんぶつきゃく） 觀光者、觀眾、觀眾 
ごった返す（ごったがえす） 混亂或騷動、混亂、擁擠或擠滿人 
石油（せきゆ） 石油 
燃料（ねんりょう） 燃料 
励む（はげむ） 奮勉、努力 
愛好者（あいこうしゃ） 狂熱者、粉絲、奉獻者、熱愛某事的人 
突入する（とつにゅうする） 衝進、闖入、毅然進入、投入 
詰め掛ける（つめかける） 擠到（一棟房子）、擠到（一扇門） 
公開日（こうかいび） 發布日期、出版日期、開放日、開放日 
奇抜な（きばつな） 奇異、與衆不同 
趣向（しゅこう） 趣旨、主意、想法 
凝らす（こらす） 集中、凝聚、傾注(力量等) 
飽きる（あきる） 吃飽了、夠了、厭煩、厭倦、膩了
祭典（さいてん） 慶典
ヘクタール 公頃
集客（しゅうきゃく） 吸引客人、攬客
見込む（みこむ） 預計、預料
～商事（しょうじ） 貿易公司的名稱
負担（ふたん） 負擔、承擔
家計（かけい） 家計、家庭經濟、家中收支情況
組織する（そしきする） 組織 
海水浴場（かいすいよくじょう） 海水浴場
物件（ぶっけん） （出租或銷售用的）房源、房子
入居（にゅうきょ） 入住
辞意（じい） 辭職之意
寛容な（かんような） 寬容的、寬大的
控える（ひかえる） 臨近、節制、抑制、控制
～に打ち込む（～にうちこむ） 專注於～、投進、射入、攻入
サミット 高峰會、最高級會議
配慮する（はいりょする） 關懷、照顧、操心
姿勢（しせい） 姿勢、姿態、態度
事ここに至る（ことここにいたる） 事已至此、事態到了如此地步、事態惡化到沒有辦法解決的地步
幼児（ようじ） 幼兒、兒童
育成（いくせい） 幼兒、兒童
起動（きどう） 啟動、開動
機種（きしゅ） 機型、機種
規模（きぼ） 規模 
事業所（じぎょうしょ） 公司行號、小型企業 
補助（ほじょ） 補助 
選任（せんにん） 選任、選拔任命 
平均（へいきん） 全國平均 
わずか 僅有、一點點 
一刻（いっこく） 一刻、片刻間、短時間 
猶予（ゆうよ） 猶豫、延遲、延緩 
行政（ぎょうせい） 行政 
働く盛り（はたらくさかり） 青壯年時期、年富力強 
体制（たいせい） 機制、體制 
さらなる 更多、更遠 
弓（ゆみ） 弓 
槍（やり） 長槍、矛 
農村（のうそん） 農村 
