單字,讀音,中文
ICレコーダー,,錄音筆，錄音設備
愛情,あいじょう,愛(不限定於情愛)
相続く,あいつづく,連續
相まって,あいまって,相輔相成
赤字,あかじ,虧損，赤字；紅色的字
赤ん坊,あかんぼう,嬰兒，寶寶
空家,あきや,空宅
飽きる,あきる,厭倦，煩膩
悪用,あくよう,濫用
明け方,あけがた,黎明
朝一,あさいち,一大早
足を運ぶ,あしをはこぶ,走，去，出現
預け,あずけ,託付保管，存，寄存，寄託
遊びまわる,あそびまわる,七逃，整天在玩
与える,あたえる,送給，授予，賜予(今多用於上對下的恩賜)，提供，給以，予以
頭に来る,あたまにくる,非常生氣
当たりの〜,あたりの,是個不錯的～
悪化する,あっかする,惡化
扱う,あつかう,處理，對應；經銷；操作
油絵,あぶらえ,油畫
甘える,あまえる,撒嬌；接受別人的好意
危うく,あやうく,險些，幾乎
争う,あらそう,競爭，競賽，爭奪
争う,あらそう,競爭，鬥爭
争う,あらそう,競爭，鬥爭
新た,あらた,新，重新
改まった,あらたまった,鄭重的，正式的
改める,あらためる,改正，改變，改換，改善，檢查
あらゆる,,所有的，全部的，一切的
あらゆる,,所有的，全部的，一切的
表す,あらわす,表現，表達，表示，表露
現れる,あらわれる,露出，顯出，出現，出場，暴露，被發現
ありがたい,,難得的，寶貴的；值得慶幸的，值得感謝的
暗算する,あんざんする,心算
安定感,あんていかん,安定感，安全感
安定する,あんていする,安定
アーモンド,,杏仁
生かす,いかす,有效使用，活用，(充分)發揮，施展
行きつけ,いきつけ,常去的，經常光顧的
遺産,いさん,遺產
意識が高い,いしきがたかい,意識高，覺醒
異常な,いじょうな,異常；異常的
遺跡,いせき,遺跡，古跡
遺跡,いせき,遺蹟，舊跡，古蹟，舊址
いたずらする,,淘氣，惡作劇；玩弄
いたずらに,,調皮地
至る,いたる,導致（一個地方），到達，來，到達，導致
一丸となって,いちがんとなって,團結一致
位置づけ,いちづけ,定位價值，賦予地位
胃腸,いちょう,腸胃
一流,いちりゅう,一流
一流大学,いちりゅうだいがく,一流大學
一軒屋,いっけんや,一棟式住宅
一刻も早く,いっこくもはやく,儘快，盡可能早點
一戸建て,いっこだて,獨棟樓房，獨門獨戶的樓房
いっそう,,更加，益發
遺伝子,いでんし,基因
意に反する,いにはんする,反對某人的意志
居眠り,いねむり,打瞌睡，打盹
イメージアップ,,提高聲譽，改善印象
依頼する,いらいする,委託，拜託，請求
印鑑,いんかん,印鑑
植木鉢,うえきばち,花盆
ウォーキングシューズ,,輕便鞋，健走鞋
伺う,うかがう,請教，打聽，拜訪，訪問（聞く，尋ねる，訪れる的謙讓語）
伺う,うかがう,請教，打聽，拜訪，訪問
承る,うけたまわる,接受(受ける的謙讓語)
受け継ぐ,うけつぐ,繼承
受け持つ,うけもつ,負責
失う,うしなう,失掉，丟失，錯失
薄れる,うすれる,漸薄，漸弱，模糊
疑い,うたがい,懷疑，疑惑
打ち合わせ,うちあわせ,事前安排、籌備會議、簡介會
宇宙飛行士,うちゅうひこうし,太空人
うっかり,,疏忽，不小心
写す,うつす,抄寫
腕,うで,手臂；本領
生まれ変わる,うまれかわる,轉世，投胎；大改變，脫胎換骨
有無,うむ,有無
恨む,うらむ,憎恨，怨恨
うらやましい,,令人羨慕/嫉妒的
売り場,うりば,販售處
売れ残る,うれのこる,滯銷，賣剩下...
うわさ話,うわさばなし,流言蜚語
運行する,うんこうする,行駛
うんと,,多～，大大地，用力地，使勁～
影響を与える,えいきょうをあたれる,對...有影響
栄養補助食品,えいようほじょしょくひん,營養補充劑,膳食補充劑
栄養を摂る,えいようをとる,攝取營養
エスニック,,民族風
得る,える,得到
得る,える,取得，獲得，得到
沿岸,えんがん,沿岸
園芸,えんげい,園藝
援助交際,えんじょこうさい,女學生賣淫（援交），有償約會（付款、經濟支持等）（爸爸活）
円高,えんたか,日圓升值，日圓走強
円高,えんたか,日圓升值，日圓走強
遠慮,えんりょ,客氣，謝絕，避諱
終える,おえる,終結，終止，結束
大方,おおかた,大半，大部分
オオカミ,,狼
大型,おおがた,大,大規模,大,巨型
大幅な,おおはばな,重要的
おかず,,小菜，菜餚
おかゆ,,粥
小川,おがわ,小河
補う,おぎなう,補充；補償，彌補
おごる,,請客
おごる,おごる,請客
押さえる,おさえる,確定（預約），壓制住，控制住
おしゃれ,,愛打扮，愛打扮的人
おしゃれな,,時尚的，時髦的
汚職,おしょく,貪汙，瀆職
お世辞,おせじ,恭維，奉承，應酬話
襲う,おそう,攻擊，襲擊
お葬式,おそうしき,葬禮
恐れる,おそれる,害怕，恐懼，擔心
訪れる,おとずれる,訪問，拜訪
訪れる,おとずれる,訪問，拜訪，來臨
訪れる,おとずれる,來臨；造訪，拜訪
お見舞い申し上げます,おみまいもうしあげます,深表慰問之意
思い浮かべる,おもいうかべる,想起，回憶起
思い切り,おもいきり,決意，斷念；盡情地，徹底地
思いつく,おもいつく,想到新點子
およそ,,凡是，一般說來，大約
及ばす,およなす,波及，影響到
折れる,おれる,折斷
下す,おろす,放下，做決定
お詫び,おわび,道歉
会,かい,聚會
改革する,かいかくする,改革
解決能力,かいけつのうりょく,解決能力
解雇する,かいこする,解雇
回収する,かいしゅうする,回收
海水浴,かいすいよく,海水浴
開設する,かいせつする,開設，建立
改善,かいぜん,改善
快適な,かいてきな,舒適的
快適な,かいてきな,舒適的
解答欄,かいとうらん,答案欄
飼い主,かいぬし,寵物主人
開発,かいはつ,開發，研製
開票する,かいひょうする,開箱點票，開票
カウンター,,櫃檯
帰り支度,かえりじたく,回家前的準備
価格競争,かかくきょうそう,價格競爭
欠かせない,かかせない,不可缺少的，重要的，必備的
家業,かぎょう,家業，祖業
確信する,かくしんする,相信
確信する,かくしんする,確信
各自,かくじ,各自
拡大,かくだい,擴大
拡大する,かくだいする,擴大
各地,かくち,各地
獲得する,かくとくする,重視
かくなる,,就變成這樣了
確保,かくほ,保障，確保
可決,かけつ,(提案)通過
重ねてまいります,かさねてまいります,以...精進（=精進して参ります）
飾る,かざる,裝飾，修飾
歌手,かしゅ,歌手
数多く,かずおおく,數量眾多（＋の＋N）
河川,かせん,河川，河流
家族を亡くす,かぞくをなくす,失去（家人）
肩,かた,肩，肩膀
偏る,かたよる,偏頗，偏袒；不平衡
価値,かち,價值
家畜,かちく,家畜
勝ち目,かちめ,勝算
活躍,かつやく,活躍，積極活動
必ずしも,かならずしも,不一定，未必
かばう,,庇護，袒護，保護
活発な,かぱつな,活潑；活躍
カビ,,黴菌
かまう,,介意
からかう,,嘲弄，戲弄，開玩笑
仮店舗,かりてんぽ,臨時店鋪
仮に,かりに,假如，假定，如果
カルシウム,,鈣
可哀想,かわいそう,好可憐
感覚,かんかく,感覺
