幸い（さいわい） 幸好、幸虧、有幸 
給与（きゅよ） 報酬、工資、薪水 
募集（ぼしゅう） 招募 
書類審査（しょるいしんさ） 書面資料審查 
学会（がっかい） 學會 
休診（きゅうしん） 停診 
左記（さき） 如左圖所示的～ 
仮店舗（かりてんぽ） 臨時店鋪 
研修（けんしゅう） 進修、在職學習 
点検（てんけん） 檢查 
臨時休業（りんじきゅうぎょう） 臨時停業 
昼夜（ちゅうや） 晝夜 
深夜（しんや） 深夜、半夜 
有無（うむ） 有無 
老若男女（ろうにゃくなんにょ） 男女老少 
周囲（しゅうい） 周圍、環境 
愛情（あいじょう） 愛(不限定於情愛) 
偽物（にせもの） 山寨品、假貨 
要望（ようぼう） 需求 
習慣（しゅうかん） 習慣 
環境汚染（かんきょうおせん） 環境汙染 
深刻（しんこく） 嚴重 
幸運（こううん） 好運、幸運 
風力発電（ふうりょくはつでん） 風力發電 
自然エネルギー（しぜんえねるぎー） 綠色能源、可再生能源 
厳守（げんしゅ） 嚴格遵守
振り込み（ふりこみ） 轉帳 
負担（ふたん） 負擔、承擔 
お詫び（おわび） 道歉 
願書（がんしょ） 申請書、報名表 
必着（ひっちゃく） 必須到達、必須送達 
分別する（ぶんべつする） 區別、分別、判別 
承る（うけたまわる） 接受(受ける的謙讓語) 
丸印（まるじるし） 圓圈符號 
人件費（じんけんひ） 工錢、人事費 
サミット 高峰會 
下取り（したどり） 以舊物折價換新的 
身分証明書（みぶんしょうめいしょ） 身份證 
毛布（もうふ） 毯子、毛毯 
クッション 墊子、坐墊、椅墊 
求める（もとめる） 尋求、追求 
やる気 幹勁 
持参する（じさんする） 攜帶、隨身攜帶 
晴雨（せいう） 晴天或雨天
所定（しょてい） 指定
手当て（てあて） 津貼(薪水以外)
返品する（へんぴんする） 退貨
寄付する（きふする） 捐贈、捐助、捐款
紛失する（ふんしつする） 遺失
改まった（あらたまった） 鄭重的、正式的 
会（かい） 聚會 
開く（ひらく） 打開、開始 
学ぶ（まなぶ） 學習、掌握、體會 
取引先（とりひきさき） 供應商 
命じる（めいじる） 命令、要求 
職場（しょくば） 職場、工作的崗位、工作的場所(如辦公室等) 
日課（にっか） 每天要做的工作 
遺伝子（いでんし） 基因 
来日する（らいにちする） 來到日本 
契約金（けいやくきん） 契約金 
遣う（つかう） 注意、小心、留意 
首相（しゅしょう） 首相、內閣總理大臣 
歓迎会（かんげいかい） 歡迎會 
見直す（みなおす） 重新考慮、重新審視 
入荷（にゅうか） 進貨、到貨 
電子レンジ（てんしれんじ） 微波爐 
講師（こうし） 講師、老師 
合理化（ごうりか） 合理化 
多数（たすう） 多數 
従業員（じゅうぎょういん） 職員 
解雇する（かいこする） 解雇 
確保（かくほ） 保障、確保 
防止（ぼうし） 防止 
活発な（かぱつな） 活潑、活躍 
口答えする（くちごたえする） 頂嘴 
反抗する（はんこうする） 反抗 
おしゃれ（する） 時尚、時髦、（追隨）潮流 
就職活動（しゅうしょくかつどう） 找工作 
国際関係（こくさいかんけい） 國際關係 
宗教（しゅうしょう） 宗教 
開設する（かいせつする） 開設、建立 
周辺（しゅうへん） 周圍、周邊環境、附近 
コストパフォーマンス 性價比、CP值 
円高（えんたか） 日圓升值、日圓走強
進学先（しんがくさき） 升學目標 
就職率（しゅうしょくりつ） 就業率 
農業（のうぎょう） 農業 
農村（のうそん） 農村 
気候（きこう） 氣候 
地形（ちけい） 地形 
立派な（りっぱな） 令人欽佩的 
ICレコーダー 錄音筆、錄音設備 
メーカー 廠商 
疑い（うたがい） 懷疑、疑惑 
専門医（せんもんい） 醫學專家 
調子（ちょうし） 情況、狀態、勁頭 
スパイス 香料
認める（もとめる） 認可、承認 
祖父母（そふぼ） 祖父母、外祖父母
中小企業（ちゅうしょうきぎょう） 中小企業（SMEs）
身につける（みにつける） 掌握
ちっとも～ない 完全不∕沒～
めいっぱい 盡全力、盡可能
マーケティング 市場行銷
欠かせない（かかせない） 不可缺少的、重要的、必備的
小型（こがた） 小型
総合（そうごう） 綜合
輸出（ゆしゅつ） 輸出、出口 
拡大（かくだい） 擴大 
慣れ親しむ（なれしたしむ） 熟識、親近 
心遣い（こころづかい） 關心、關照 
環境保護活動（かんきょうほごかつどう） 環保活動
シンポジウム 研討會 
伝統芸能（でんとうげいのう） 傳統藝術 
手本（てほん） 榜樣、模範、字帖、畫帖 
総意（そうい） 共識 
交際する（こうさいする） 交往、談戀愛 
利益（りえき） 利益 
経済活動（けいざいかつどう） 經濟活動 
開発（かいはつ） 開發、研製 
研修（けんしゅう） 進修、在職學習 
一丸となって（いちがんとなって） 團結一致 
思い切り（おもいきり） 決意、斷念、盡情地、徹底地 
監督（かんとく） 教練、總監、導演 
出来事（できごと） 事件、變故 
表す（あらわす） 表現、表達、表示、表露 
投書する（とうしょする） 投稿、投書 
昆虫（こんちゅう） 昆蟲 
夢中（むちゅう） 熱衷於～、入神、著迷、瘋狂、恍惚 
用法（ようほう） 用法、使用說明 
契機（けいき） 契機、轉機、關鍵 （只能用在好的事情） 
就任する（しゅうにんする） 就職 
発展する（はってんする） 發展 
ノーベル賞（のーべるしょう） 諾貝爾獎 
受賞する（じゅしょうする） 獲獎 
受験生（じゅけんせい） 考生 
地域ぐるみ（ちいきぐるみ） 某地的全域 
催し物（もよおしもの） 集會、文化娛樂活動 
しっかり 堅定、堅固、好好地、充分地 
日頃（ひごろ） 每天 
技術（ぎじゅつ） 技術 
扱う（あつかう） 處理、對應、經銷、操作 
低い（ひくい） 低、矮、低賤 
期日（きじつ） 期限、日期 
誇り（ほこり） 榮耀、自豪、自尊心 
力を尽くす（ちからをつくす） 盡全力 
税金（ぜいきん）稅、稅金 
かくなる 就變成這樣了 
裁判（さいばん） 裁判、審判 
争う（あらそう） 競爭、競賽、爭奪 
通信販売（つうしんはんばい） 郵購、網購 
品物（しなもの） 物品、東西、商品、貨物 
混む（こむ） 擠 
一言（ひとこと） 一句話、無話可說、無可辯解 
文句（もんく） 詞語、意見、牢騷 
訪れる（おとずれる） 訪問、拜訪 
生涯（しょうがい）生涯 
食料（しょくりょう） 食物、餐費、食物原料 
業績（ぎょうせき） 業績 
収入（しゅうにゅう） 收入 
減少する（げんしょうする） 減少 
貯金額（ちょきんがく） 存款金額 
優れる（すぐれる） 卓越、優秀、出色 
機能（きのう） 機能、作用 
化粧品（けしょうひん） 化妝品、盥洗用品 
規則（きそく） 規則 
強風（きょうふう） 強風、大風、疾風 
乱れ（みだれ） 混亂、騷亂、紊亂 
足を運ぶ（あしをはこぶ） 走、去、出現 
学士（がくし） 學士 
資格（しかく） 資格、身分 
得る（える） 得到 
健康診断（けんこうしんだん） 體檢
得点（とくてん） 得分、分數 
試み（こころみ） 嘗試 
取り扱い（とりあつかい） 治療、服務、處理、管理 
警備（けいび） 警備、守備 
適切（てきせつ） 適當、恰當 
宇宙飛行士（うちゅうひこうし） 太空人 
判断力（はんだんりょく） 判斷力、辨別 
解決能力（かいけつのうりょく） 解決能力 
出場権（しゅつじょうけん） 出場權 
パティシエ 西點師傅
終える（おえる） 終結、終止、結束
争う（あらそう） 競爭、鬥爭
