ついぞ 從來沒有，一點也不 
並々ならぬ（なみなみならぬ） 非凡，不尋常 
早々（そうそう） 就在~之後 
退学（たいがく） 退學 
向学心（こうがくしん） 好學心 
失明（しつめい） 失明 
眼科（がんか） 眼科 
付き添う（つきそう） 陪伴 
交代する（こうたいする） 替換，交替，輪流 
度重なる（たびかさなる） 反覆，再三 
号泣（ごうきゅう） 大聲哭泣，悲嘆，哀號 
切り抜ける（きりぬける） 渡過，掙扎，克服 
盲（もう） 盲人，瞎子 
しょっちゅう 經常，總是 
メクラ 瞎子（這是歧視用語） 
揶揄する（やゆする） 諷刺 
親交（しんこう） 深交 
皆無（かいむ） 完全沒有 
聡明（そうめい） 智慧，睿智 
志（こころざし） 志氣，目標 
持てはやす（もてはやす） 誇大其詞 
探究する（たんきゅうする）
大作（たいさく） 史詩 
せっせと 一個勁地，拚命地 
究極的な（きゅうきょくてきな） 最終的，終極的 
平凡な（へいぼんな） 普通的 
自力（じりき） 自力 
双方（そうほう） 雙方 
対等（たいとう） 對等，平等 
及ぶ（およぶ） 達到，比上，波及 
ひけ 落後，虧損 
仕える（つかえる） 伺候，服侍 
片方（かたほう） 其中一方，其中一邊，同胞，伴侶 
呼称（こしょう） 名稱 
語源（ごげん） 語源 
とりわけ 特別，格外 
こだわる 拘泥 
とやかく 無論如何，一般來說 
おせっかい 多管閒事 
一般論（いっぱんろん） 普遍的看法 
もの言い（ものいい） 遣詞用字 
口出す（くちだす） 插嘴 
一言（ひとこと） 一句話 
いずれも 無論~都~ 
配偶者（はいぐうしゃ） 配偶 
一段と（いちだんと） 更加~，越來越~ 
まず 首先，暫且，大概，恐怕 
連載（れんさい） 連載 
随筆（ずいひつ） 隨筆 
挿絵（さしえ） 插圖，插畫 
オットセイ 海狗 
プスッと 突然斷掉的樣子 
腹だしい（はらだしい） 令人氣憤的，可惡的 
らんかん 欄杆 
彫像（ちょうぞう） 雕像 
てのひら 手掌，手心 
女人（にょにん） 女人 
躍る（おどる） 跳躍 
とっぱらえ 除去，去掉，消除 
怒り（いかり） 憤怒，氣憤，生氣，發火 
撤廃（てっぱい） 撤消，廢止 
訴え（うったえ） 訴諸，打動，起訴，申訴 
応援（おうえん） 支持，援助 
スルッと 平穩地，滑順地 
平気（へいき） 不在乎，不介意，沉著，冷靜 
相前後（あいぜんご） 相繼 
農村（のうそん） 農村 
愉快（ゆかい） 愉快，爽快 
忠実に（ちゅうじつに） 忠實 
頻繁な（ひんぱんな） 頻繁 
正直（しょうじき） 正直，誠實，老實說 
たいそう 非常 
敏感（びんかん） 敏感 
いいかげん 合理的，適度的，不負責任的，敷衍的 
