楽勝（らくしょう） 不費力而取勝 
朝飯前（あさめしまえ） 輕而易舉、易如反掌 
棚ぼた（たなぼた） 意外的幸運
お安い御用（おやすいごよう） 簡單的任務、沒問題 
トントン拍子（とんとんびょうし） 一帆風順 
一番乗り（いちばんのり） 最先到達目的地(的人)
一石二鳥（いっせきにちょう） 一舉兩得 
善は急げ（ぜんはいそげ） 趁熱打鐵 
先手を打つ（せんてをうつ） 先發制人 
本腰を入れる（ほんごしをいれる） 投入某事、拿出幹勁 
目からウロコ（めからうろこ） 恍然大悟 
空気を読む（くうきをよむ） 察言觀色
ダメもとで～する 抱著不可能的心情~ 
安全パイ（あんぜんぱい） 安全牌 
痛くもかゆくもない（いたくもかゆくもない） 不痛不癢 
肩の荷が下りる（かたのにがおりる） 卸下重擔 
手取り足取り＋教える（てとりあしとり） 手把手地教 
一から十まで（いちからじゅうまで） 全部都 
喉から手が出るほど欲しい（のどからてがでるほどほしい） 極度想要 
首を長くして待つ（くびをながくしてまつ） 引頸期盼 
待ちに待った＋N（まちにまった） 等待已久地 
ごまをする 拍馬屁、諂媚 
サバを読む（さばをよむ） (在數量上)蒙混、灌水 
手を抜く（てをぬく） 跳過不該省略的步驟、偷工減料 
お茶を濁す（おちゃをにごす） 打馬虎眼、敷衍了事 
見て見ぬふりをする（みてみぬふりをする） 視而不見 
口先だけ（くちさきだけ） 說說仔、只出一張嘴 
口説く（くどく） 追求、勾引、說服 
一か八か（いちかばちか） 孤注一擲、碰運氣 
頑張り屋さん（がんばりやさん） 很努力的人 
かゆいところに手が届く（かゆいところにてがとどく） 體貼入微
コツコツ 一點一滴地、刻苦地
～に飢える（にうえる） 渴望~
根回し（ねまわし） 喬事情
ハマる 充滿熱情、上癮 
目がない（めがない） 非常喜愛某物、無法抗拒 
病みつき（やみつき） 沉迷於~
我を忘れる（われをわすれる） 忘我地~ 
首を突っ込む（くびをつっこむ） 嗤之以鼻、插手、窺探
