まなざし 看，凝視 
飛び出す（とびだす） 跑出，跳出 
ランドセル 背包 
ゴソッと 全都，一點不留 
いったん 片刻，暫時，一次 
怒鳴る（どなる） 喊叫，叫喊 
手探り（てさぐり） 摸，摸索 
柄（え） 把柄，手把 
バサッと 大幅地、猛然地 
ごった返す（ごったがえす） 混亂 
通用口（つうようぐち） 通用出入口 
上目遣い（うわめづかい） 眼睛朝上看 
睨みつける（にらみつける） 瞪眼，怒視 
札（ふだ） 名條 
貯める（ためる） 儲蓄 
飛びかかる（とびかかる） 跳躍 
放り投げる（ほうりなげる） 投擲 
ちらりと 一瞥 
かげ 陰影 
引っ込み（ひっこみ） 退下 
薬味（やくみ） 調味 
湯気（ゆげ） 熱氣，水蒸氣 
出汁（だし） 高湯 
剝く（むく） 削皮，剝皮 
ぶすっと 不滿的樣子 
もめる 吵架 
見つめる（みつめる） 盯著，注視著 
頭ふいてん（あたまふいてん） 擦乾頭 
ごしごしと 擦東西的聲音 
動かす（うごかす） 移動 
裏通り（うらとおり） 小巷 
開通（かいつう） 通車 
常連客（じょうれんきゃく） 常客 
工事（こうじ） 工程，施工 
つぼ 壺，罐 
視線を移す（しせんをうつす） 移動目光 
傾げる（かしげる） 傾斜 
クレーン車（くれーんしゃ） 起重機 
寸前（すんぜん） 即將~之前 
土砂降り（どしゃぶり） 傾盆大雨 
ひどい目に遭う（ひどいめにあう） 遇到倒楣的事情 
すぼめる 收傘 
色合い（いろあい） 配色，調色 
どうせなら 既然如此 
あくる日（あくるひ） 明天 
参観日（さんかんび） 學校的家長參觀日 
背中（せなか） 背後，背面 
張り付く（はりつく） 緊貼 
ぶら下がる（ぶらさがる） 下垂 
裏口（うらぐち） 後門 
出迎え（でむかえ） 迎接 
はらう 拂去，趕走 
土間（どま） 沒地板的房間 
仕切り（しきり） 隔開 
ほっとする 鬆了一口氣 
飯食う（めしくう） 吃飯 
栓（せん） 塞子 
そらまめ 蠶豆 
お碗（おわん） 碗 
手早く（てはやく） 動作敏捷 
すます 做完，辦完 
あがりがまち 門檻 
べそをかいた 要哭出來的樣子 
ぼうず 小男孩 
街灯（がいとう） 路燈 
煽る（あおる） 被（風）搖晃 
威勢（いせい） 氣勢 
のれん 門簾 
かき分ける（かきわける） 推開，撥開（門） 
たじろいた 畏縮，後退 
柄（がら） 手柄，（傘的）骨架 
手にする（てにする） 拿在手裡，擁有，獲得 
アカンベエ 鬼臉 
しだしだ 開始~ 
天井（てんじょう） 頂棚，天花板 
骨（ほね） 骨架 
布（ぬの） 布 
瞬く（しばたく） 眨眼 
