單字,讀音,中文
悪循環,あくじゅんかん,惡性循環
挙げだす,あげだす,列出
与える,あたえる,送給，授予，賜予
あたかも,,有如～
誤り,あやまり,搞錯，耽誤
あらぬ,,不同的，分開的，不相關的
慌てふためく,あわてふためく,驚慌失措，慌慌張張，手忙腳亂
いかなる,,無論
いきさつ,,経緯，原委，來龍去脈
意義深い,いぎふかい,重要的，重大的
一丸,いちがん,成為一體
一段と,いちだんと,越發，更加，進一步
一挙手一投足,いっきょしゅいっとうそく,一舉一動
戒める,いましめる,勸戒，懲戒，告戒
イヤイヤ,,不情願地
意欲,いよく,熱情，積極性
意欲,いよく,熱情，積極性
植え付ける,うえつける,種植
上役,うえやく,上級，上司
浮かす,うかす,浮現
失わせる,うしなわせる,失掉，丟失
うっかり,,無意中，不留神
打てば響く,うてばひびく,立竿見影
腕の見せ所,うでのみせどころ,露一手，展現實力的機會
促す,うながす,催促，促進
運営,うんえい,經營
運搬,うんぱん,搬運，運載
運命論,うんめいろん,宿命論
犯す,おかす,犯錯
怠る,おこたる,怠慢，懶惰，疏忽
お膳立つ,おぜんだつ,準備
恐ろしい,おそろしい,可怕的
衰え,おとろえ,衰弱，衰落
おのずから,,自然而然地
脅かす,おびやかす,威脅
おろおろする,,心神不定
階級制度,かいきゅうせいど,階級制度
海軍,かいぐん,海軍
かき立てる,かきたてる,激起，喚起
各自,かくじ,各自，分別
欠ける,かける,不足，欠缺
固める,かためる,鞏固，集中
構える,かまえる,做出...的架勢
感知,かんち,感知，覺察
甲板,かんぱん,甲板
嬉々として,ききとして,快活的，快樂的，興高采烈的
汽車,きしゃ,火車，列車
机上,きじょう,桌上
基礎,きそ,基礎
卿,きょう,國務大臣
強じんな,きょうじんな,堅韌的，堅強的
共通,きょうつう,共通，通用
協同,きょうどう,協同
恐怖感,きょうふかん,恐懼
居住,きょじゅう,居住
ぎごちなさ,,不靈活，生硬，不通順
苦境,くきょう,困境
下す,くだす,下命令
口金,くちがね,蓋子
工夫,くふう,竅門，辦法
暗やみ,くらやみ,漆黑，黑暗
繰り返す,くりかえす,重複，重新做某事
繰り広げる,くりひろげる,展開，打開
狂う,くるう,發瘋，著迷
狂わせる,くるわせる,發瘋
苦労,くろう,操心，擔心
啓示,けいじ,啟示
決断,けつだん,決斷，果斷
欠乏,けつぼう,缺乏
原動力,げんどうりょく,原動力，動力
攻撃隊,こうげきたい,特攻隊，突擊隊
行程,こうてい,行程
心得,こころえ,素養，經驗
心構え,こころがまえ,心理建設，思想準備
志す,こころざす,立志
試み,こころみ,嘗試
心を奪う,こころをうばう,完全被吸引，完全著迷
小麦粉,こむぎこ,麵粉
根本的,こんぽんてき,基本的
最小限,さいしょうげん,最小限度
細心,さいしん,細心，周密
先を越される,さきをこされる,被超前
ささいな,,瑣碎的
授かる,さずかる,領受，獲得
左右する,さゆうする,左右，支配
参画,さんか,參與籌劃
惨事,さんじ,慘案
士気,しき,士氣
仕込む,しこむ,教育，訓練
指針,ししん,方針，指南
しばしば,,屢屢，再三
脂肪,しぼう,脂肪，油脂
集団,しゅうだん,集團，集體
主力,しゅりょく,主要力量，主力
将校,しょうこう,軍官
生じる,しょうじる,發生
食糧,しょくりょう,糧食
初代,しょだい,第一代
処置,しょち,處置，處理
思慮,しりょ,考慮，深思
熾烈,しれつ,猛烈的
真剣さ,しんけんさ,認真，一絲不苟
信仰心,しんこうしん,虔誠
心身,しんしん,身心
自主性,じしゅせい,自主性
時点,じてん,時間點，場合
忠実に,じゅうじつに,忠實，誠實
従順,じゅうじゅん,聽話的，順從的
柔軟,じゅうなん,靈活
柔軟な,じゅうなんな,柔軟，靈活
条件,じょうけん,條件
成就,じょうじゅ,成就
情勢,じょうせい,形勢
情熱,じょうねつ,熱情
助言,じょげん,建議，忠告
水兵,すいへい,水兵，海軍士兵
優れる,すぐれる,出色，優秀
術,すべ,能力，學問
設定,せってい,設定，擬定
雪上車,せつじょうしゃ,雪地拖拉機，雪地車
全貌,ぜんぼう,完整的細節
全力,ぜんりょく,全力，全部力量
創業主,そうぎょうぬし,創始人
損なう,そこなう,傷害，損傷
組織,そしき,組織
組織論,そしきろん,組織理論
素質,そしつ,素質，天分
注ぎ込む,そそぎこむ,注入，倒入
そもそも,,最初，根本
ソリ,,雪橇
尊重,そんちょう,尊重
対処,たいしょ,應付，處理
対処する,たいしょする,應付，處理
体得せしめる,たいとくせしめる,體會，掌握
讃える,たたえる,稱讚
闘い,たたかい,鬥爭
達成度,たっせいど,成就水平
愉しい,たのしい,愉快
たびたび,,經常，一次又一次
たゆむ,,懈怠，鬆弛
探検,たんけん,探險，探查
探検的,たんけんてき,探索性的
鍛錬,たんれん,鍛鍊
第一種の過誤,だいいっしゅのかご,第一類錯誤
打撃,だげき,衝擊，刺激
打撃,だげき,衝擊，刺激
知恵,ちえ,智慧，主意
致命的,ちめいてき,致命的
中途半場,ちゅうとはんば,半途而廢
ちょっとした,,相當多
費やす,ついやす,花費，用掉，浪費
慎む,つつしむ,謹慎，小心，節制
つのらせる,,越發地
積む,つむ,積累
的確,てきかく,準確無誤
手探り,てさぐり,摸索
徹底,てってい,徹底，透徹
手を打つ,てをうつ,採取措施
テント,,帳篷，天篷，布棚
デポ,でぽ,倉庫
統計,とうけい,統計
凍傷,とうしょう,凍傷
南極点,なんきょくてん,南極點
何らか,なんらか,一些，某種
似る,にる,像
人情,にんじょう,人情
燃料,ねんりょう,燃料
のぞく,,窺視
望まねば,のぞまねば,仰望，景仰
述べる,のべる,敘述，說明
敗因,はいいん,失敗的原因
背景,はいけい,背景
敗北,はいぼく,敗北，戰敗
発揮,はっき,發揮
判断,はんだん,判斷
万事,ばんじ,萬事，諸事
ひいては,,甚至，進而
悲劇,ひげき,悲劇
非難する,ひなんする,非難，譴責
