心得（こころえ） 素養，經驗 
役割（やくわり） 任務，職責，作用 
組織（そしき） 組織 
協同（きょうどう） 協同 
設定（せってい） 設定，擬定 
分配（ぶんぱい） 分配，分給 
上役（うえやく） 上級，上司 
共通（きょうつう） 共通，通用 
明確（めいかく） 明確，明了 
方針（ほうしん） 方針 
与える（あたえる） 送給，授予，賜予 
意欲（いよく） 熱情，積極性 
かき立てる（かきたてる） 激起，喚起 
述べる（のべる） 敘述，說明 
繰り返す（くりかえす） 重複，重新做某事 
各自（かくじ） 各自，分別 
おのずから 自然而然地 
最小限（さいしょうげん） 最小限度 
任す（まかす） 託付，交給一個人 
達成度（たっせいど） 成就水平 
施す（ほどこす） 施捨 
放る（ぽうる） 放著不管 
損なう（そこなう） 傷害，損傷
助言（じょげん） 建議，忠告 
成就（じょうじゅ） 成就 
しばしば 屢屢，再三 
狂う（くるう） 發瘋，著迷 
対処（たいしょ） 應付，處理 
情勢（じょうせい） 形勢 
臨機応変（りんきおうへん） 隨機應變 
術（すべ） 能力，學問 
感知（かんち） 感知，覺察 
的確（てきかく）準確無誤 
禍（わざわい） 災難 
処置（しょち） 處置，處理 
おろおろする 心神不定 
費やす（ついやす） 花費，用掉，浪費 
平常心（へいじょうしん） 鎮定自若 
柔軟（じゅうなん） 靈活 
名案（めいあん） 好主意 
植え付ける（うえつける） 種植 
あらぬ 不同的，分開的，不相關的 
南極点（なんきょくてん） 南極點 
熾烈（しれつ） 猛烈的 
闘い（たたかい） 鬥爭 
繰り広げる（くりひろげる） 展開，打開 
悲劇（ひげき） 悲劇 
見舞う（みまう） 探望，慰問，遭災，蒙受不幸 
讃える（たたえる） 稱讚 
探検（たんけん） 探險，探查 
愉しい（たのしい） 愉快 
敗れる（やぶれる） 敗北 
全貌（ぜんぼう） 完整的細節 
試み（こころみ） 嘗試 
意義深い（いぎふかい） 重要的，重大的 
机上（きじょう） 桌上 
運命論（うんめいろん） 宿命論 
不運（ふうん） 倒楣，不幸 
分岐点（ぶんきてん） 支點 
決断（けつだん） 決斷，果斷 
ささいな 瑣碎的 
致命的（ちめいてき） 致命的 
打撃（だげき） 衝擊，刺激 
汽車（きしゃ） 火車，列車 
悪循環（あくじゅんかん） 惡性循環 
貧すれば鈍する（ひんすればとんする） 人窮志短，良心喪於困地 
背景（はいけい） 背景 
情熱（じょうねつ） 熱情 
志す（こころざす） 立志 
心を奪う（こころをうばう） 完全被吸引，完全著迷 
全力（ぜんりょく） 全力，全部力量 
注ぎ込む（そそぎこむ） 注入，倒入 
強じんな（きょうじんな） 堅韌的，堅強的 
鍛錬（たんれん） 鍛鍊 
怠る（おこたる） 怠慢，懶惰，疏忽 
お膳立つ（おぜんだつ） 準備 
時点（じてん） 時間點，場合 
心構え（こころがまえ） 心理建設，思想準備 
素質（そしつ） 素質，天分 
一段と（いちだんと） 越發，更加，進一步 
腕の見せ所（うでのみせどころ） 露一手，展現實力的機會 
ひいては 甚至，進而 
手を打つ（てをうつ） 採取措施 
慌てふためく（あわてふためく） 驚慌失措，慌慌張張，手忙腳亂 
誤り（あやまり） 搞錯，耽誤 
分岐点（分岐点） 分歧點 
招く（まねく） 招手，招待 
基礎（きそ） 基礎 
たゆむ 懈怠，鬆弛 
優れる（すぐれる） 出色，優秀 
卿（きょう） 國務大臣 
運営（うんえい） 經營 
士気（しき） 士氣 
一挙手一投足（いっきょしゅいっとうそく） 一舉一動 
左右する（さゆうする） 左右，支配 
打てば響く（うてばひびく） 立竿見影 
細心（さいしん） 細心，周密 
敗北（はいぼく） 敗北，戰敗 
根本的（こんぽんてき） 基本的 
海軍（かいぐん） 海軍 
将校（しょうこう） 軍官 
階級制度（かいきゅうせいど） 階級制度 
従順（じゅうじゅん） 聽話的，順從的 
忠実に（じゅうじつに） 忠實，誠實 
恐怖感（きょうふかん） 恐懼 
似る（にる） 像 
脅かす（おびやかす） 威脅 
イヤイヤ 不情願地 
疲労（ひろう） 疲勞 
生じる（しょうじる） 發生 
自主性（じしゅせい） 自主性 
尊重（そんちょう） 尊重 
意欲（いよく） 熱情，積極性 
原動力（げんどうりょく） 原動力，動力 
体得せしめる（たいとくせしめる） 體會，掌握 
雪メガネ（ゆきめがね） 雪地護目鏡 
思慮（しりょ） 考慮，深思 
