おとぎ話（おとぎばなし） 童話，童謠 
推進する（すいしんする） 推動 
行き違う（いきちがう） 誤會，出差錯 
正式な（せいしきな） 官方的 
居る（おる） 住 
知日家（ちにちか） 日本學家 
腹を割る（はらをわる） 坦率地說 
論争（ろんそう） 論爭，論辯，論戰 
温和な（おんわな） 溫和的 
心構え（こころがまえ） 精神準備，思想準備 
言い分（いいぶん） 抱怨，藉口 
配慮（はいりょ） 關懷，照顧 
大人（たいじん） 大人 
円滑な（えんかつな） 圓滑，順利 
見習う（みならう） 見習，實習，仿效，模仿 
談義（だんぎ） 講道理，說教 
一同（いちどう） 全體，大家 
心を打つ（こころをうつ） 觸動（一個人）的心，感動 
ありがたい 難得的，難能可貴的 
破顔一笑（はがんいっしょう） 大笑 
綻ぶ（ほころぶ） 大笑 
焦る（あせる） 焦急，焦躁(不安)，心急，心焦，著急 
矛盾（むじゅん） 矛盾 
正面（しょうめん） 正面 
余裕（よゆう） 沉著，從容 
いきり立つ（いきりたつ） 憤怒，激憤 
殺害（さつがい） 殺戮，謀殺 
目につく（めにつく） 引人注目，引起注意，引起注意 
尊属（そんぞく） 尊屬，長輩 
見出す（みだす） 看見，發現 
年輩（ねんぱい） 老人 
理不尽（りふじん） 不講理，無理 
嘆かわしい（なげかわしい） 令人嘆息的 
葛藤（かっとう） 衝突 
上まわる（うえまわる） 超過，超出 
提唱（ていしょう） 提倡 
エディプスコンプレックス 戀母情結 
想起する（そうきする） 回憶，想起 
願望（がんぼう） 願望 
不能（ふのう） 不可能，沒本事，無能 
折り合い（おりあい） 相互關係，協議、妥協 
親しい（したしい） 親近，親密，血緣關係上近的，熟悉 
惹く（ひく） 吸引，引誘 
死に絶える（しにたえる） 消亡，滅絕 
人食い（ひとくい） 吃人的，食人的 
省略する（しょうりゃくする） 省略 
凄まじい（すさまじい） 了不起的，兇猛的，可怕的 
小屋（こや） 小屋，窩棚 
免れ（まぬかれ） 免去，倖免 
位（くらい） 地位 
守護神（しゅごしん） 守護神 
境目（さかいめ） 邊界，界線 
きつくなく 嚴厲，苛刻 
循環する（じゅんかんする） 循環 
浄化する（じょうかする） 淨化 
見直す（みなおす） 重新再看，重新估計，重新認識
