書物（しょもつ） 書、書籍 
引きつける（ひきつける） 吸引 
蜘蛛（くも） 蜘蛛 
巣（す） 巢、窩 
引っかかる（ひっかかる） 被困在裡面 
瑞々しい（みずみずしい） 生動的、充滿活力的、新鮮、多汁 
葉っぱ（はっぱ） 葉子、大麻 
絞る（しぼる） 擰、擠、榨 
数刻（すうこく） 幾個小時 
原則（げんそく） 原則 
周期（しゅうき） 周期 
幹（みき） 樹幹 
貯える（たくわえる） 積蓄、儲存 
実（み） 果實 
みのったりする
生気（せいき） 朝氣 
ちりばめる 鑲嵌 
一貫（いっかん） 一貫、始終 
運行（うんこう） 運行 
法則（ほうそく） 規律、法則、定律 
あらゆる 所有的、全部的、一切的 
細部（さいぶ） 細節、細小部分 
浸透（しんとう） 浸透、滲透 
司る（つかさどる） 統治、治理、管理 
余り（あまり） 過於、過分、…之極 
徐々に（じょじょに） 慢慢地、漸漸地 
膨らむ（ふくらむ） 鼓起 
奥（おく） 深處 
足がかり（あしがかり） 立足點 
絶える（たえる） 斷絕 
象徴（しょうちょう） 象徵 
漠然（ばくぜん） 模糊的 
的確（てきかく） 準確無誤 
あたえる 送給、授予、賜予 
含蓄（がんちく） 含蓄 
するすると 順利地、順暢地 
紐（ひも） 繩子 
戸口（とぐち） 門口 
純粋に（じゅんすいに） 純粹 
均衡（きんこう） 均衡、平衡 
保つ（たもつ） 保持 
闇（やみ） 黑暗 
嬰児（みどりご） 嬰兒 
次元（じげん） 次元 
現象（げんしょう） 現象 
フィルム 薄皮、薄膜 
まきかえす 重振旗鼓 
受肉する（じゅにくする） 化身 
藍（あい） 深藍色 
刈取り（かりとり） 收割 
発酵する（はっこうする） 發酵 
蒅（すくも） 藍色染料 
甕（かめ） 大陶罐 
木灰汁（あく） 草木灰水 
石灰（せっかい） 石灰 
等々（とうとう） 等等 
染料（せんりょう） 染料 
仕上げる（しあげる） 做完、完成 
芸（げい） 學問、技術 
引き上げる（ひきあげる） 增加、提高 
絞り切る（しぼりきる） 榨取 
酸化する（さんかする） 氧化 
見届けた（みとどけた） 看到、確認 
打ち明ける（うちあける） 敞開心扉 
苅安（かりやす） 一種植物 
山野（さんや） 山野、深山原野 
黄檗（きはだ） 關黃檗 
支子（くちなし） 梔子花 
揚梅（ようばい） 楊梅 
実践（じっせん） 實踐 
開示（かいじ） 發布、展示 
分析（ぶんせき） 研究、分析 
観察（かんさつ） 觀察 
理念（りねん） 理念、思想 
思考する（しこうする） 思考 
幻（まぼろし） 虛幻 
あらわす 露出、現出 
神秘（しんぴ） 神祕 
ヴェール 面紗 
しまいこむ 收起、藏起來 
拡張（かくちょう） 擴張、擴充 
分割（ぶんかつ） 分割 
根底（こんてい） 根源、根本 
永劫（えいごう） 永恆 
創造（そうぞう） 創造、發明 
斥ける（しりぞける） 打退、擊退 
直観（ちょっかん） 直觀 
熟考（じゅっこう） 深思熟慮 
生き生き（いきいき） 生氣勃勃 
メタモルフォーゼ 變態 
従来（じゅうらい） 從來、歷來 
相寄る（あいよる） 互相靠近 
顕現（けんげん） 表現 
受苦（じゅく） 受苦、折磨 
形態学（けいたいがく） 形象學、形態學 
鉱物（こうぶつ） 礦物 
幅広く（はばひろく） 廣泛的範圍 
入り込む（はいりこむ） 闖入、衝進 
産み出す（うみだす） 產出 
過失（かしつ） 過失、過錯 
ひたすら 只顧、一味 
神性（しんせい） 神性 
熟読（じゅくどく） 熟讀、精讀 
一頁一行（いっぺーじいちぎょう） 一頁一行 
豆粒（まめつぶ） 豆子 
