受験（じゅけん） 應試 
上京（じょうきょう） 進京 
幾分（いくぶん） 一些、一點兒、多少 
心細い（こころぼそい） 心虛、心裡沒底 
抱く（いだく） 胸懷、懷有 
窓外（そうがい） 窗外 
眺める（ながめる） 眺望、注視 
和める（なごめる） 安撫 
口数（くちかず） 說話的次數 
様相（ようそう） 面貌 
一変（いっぺん） 完全改變 
滅多にない（めったにない） 很少的、罕見的、輕率的 
お目にかかれない（おめにかかれない） 移不開視線 
耳打ちする（みみうちする） 講悄悄話 
うなずく 點頭、低頭表示同意 
さんざん 厲害、嚴重 
乱す（みだす） 擾亂、打亂 
艶然（えんぜん） 甜甜的笑、像美女的笑
微笑（びしょう） 微笑 
途中下車（とちゅうげしゃ） 中途停留
まんざら 未必 
浪人（ろうにん） 重考 
じっくり 沉著、穩當 
そなえる 準備 
宿泊費（しゅくはくひ） 住宿費 
親不孝（おやふこう） 不孝順 
紙切れ（かみきれ） 紙片 
家業（かぎょう） 家業、職業 
継ぐ（つぐ） 繼承 
断念する（だんねんする） 死心 
読み漁る（よみあさる） 廣泛閱讀 
面影（おもかげ） 容貌、風采 
下宿（げしゅく） 住房
囁く（ささやく） 竊竊私語 
じっと 動也不動地 
打ちひしがれる（うちひしがれる） 遭受打擊 
訊く（きく） 問 
ガチャン 砰的一聲大力地 
見事に（みごとに） 徹底（失敗）、完全
舌（した） 舌頭 
恋敵（こいがたき） 情敵
