くたびれる 穿舊了的(衣服) 
目もと（めもと） 眉目、眼神 
正直（しょうじき） 正直、誠實 
求人広告（きゅうじんこうこく） 招聘廣告 
なにぶん 不管怎麼說 
ぬけぬけ 厚顏無恥地 
あきれる 吃驚, 震驚 
尻目に（しりめに） 無視 
ほっと 放心、安心(的樣子) 
肩の荷をおろす（かたのにをおろす） 卸下負擔 
唐突な（とうとつな） 唐突、突然 
引き返す（ひきかえす） 重複 
はぐらかす 打岔 
引き止め（ひきとめ） 挽留、勸阻 
こだわる 拘泥 
補充（ほじゅう） 補充 
さんざん 徹底地 
消去法（しょうきょほう） 消去法 
思わせるぶりな（おもわせるぶりな） 話裡有話的樣子 
口上（こうじょう） 台詞 
さりげなく 若無其事的、毫不在意的 
言ってのける（いってのける） 說出 
妙に（みょうに） 奇異、奇特 
素直（すなお） 老實、誠摯 
いささか 稍微、一些 
赤ん坊（あかんぼう） 嬰兒 
分（ぶん） 情況、程度 
さしかかる 靠近、接近 
おのずから 自然而然地 
制約（せいやく） 限制 
気勢（きせい） 氣勢、銳氣 
そぐ 削弱 
手放す（てはなす） 放開 
仮説（かせつ） 假說、假設 
あくまでも 到最後 
自発的（じはつてき） 自發的、自願的 
強制（きょうせい） 強迫、強制
振り出す（ふりだす） 擺脫 
お願いに上がる（おねがいにあがる） 前來拜託
宅地造成（たくちぞうせい） 住宅用地開發 
雇い（やとい） 僱用 
論じる（ろんじる） 論述 
預かる（あずかる） 照看、照料、保管 
あつかましい 厚顏無恥、恬不知恥 
口外（こうがい） 洩密 
はばかる 顧忌 
貴重品（きちょうひん） 貴重物品 
肌身（はだみ） 身體 
ひったくり 搶錢包 
強盗（ごうとう） 強盜、搶劫犯 
お手上げ（おてあげ） 沒辦法、束手無策 
腕っ節（うでっぶし） 力氣 
額（ひたい） 前額 
年寄りじみた（としよりじみた）像老人一樣的、老成的
～じみる 像...一樣的
たどり着ける（たどりつける） 經過掙扎後到達某個地方 
脱線する（だっせんする） 出軌、脫軌、脫離常規、離題 
ふさわしい 相稱的、合適的 
さわやか 清新、清爽 
周旋屋（しゅうせんや） 經紀人、職業介紹所 
さっそく 馬上、立刻 
下見（したみ） 預先檢查 
なりゆき 結果, 發展 
ずっしり 沉重地、深刻地 
こたえる 響應 
腰骨（こしぼね） 髖骨 
背骨（せぼね） 脊椎骨 
めり込む（めりこむ） 陷入、擠入 
上り坂（のぼりざか） 上坡路
方向転換する（ほうこうてんかんする） 改變方向 
道順（みちじゅん） 路線、順路 
思い浮かべる（おもいうかべる） 被提醒、想起 
石段（いしだん） 石階 
ずたずた 粉碎、零碎 
寸断（すんだん） 斷成碎塊 
導く（みちびく） 引導
