花粉症（かふんしょう） 花粉症 
耳鼻咽喉科（じびいんこうか） 耳鼻喉科 
かかりつけ 家庭醫生 
待合室（まちあいしつ） 候車室，候診室 
薄暗い（うすぐらい） 昏暗的 
対照的な（たいしょうてきな） 對比的 
隅々（すみずみ） 角落 
蛍光灯（けいこうとう） 日光燈 
戸惑う（とまどう） 迷惑，困惑 
診察室（しんさつしつ） 檢查室 
患者（かんじゃ） 病人，患者 
問診（もんしん） 看診 
やり取り（やりとり） 對話 
一部始終（いちぶしじゅう） 從頭到尾 
プライヴァシー 隱私 
寡黙な（かもくな） 沉默寡言的 
舌が回る（したがまわる） 健談 
つるつるする 光滑的 
雰囲気（ふんいき） 氣氛 
刺さる（ささる） 刺，扎 
スズキ 鱸魚 
容易（ようい） 容易，輕易 
訪ねる（たずねる） 訪問 
カルテ 病歷卡 
漢和辞典（かんわじてん） 漢字詞典 
備え付ける（そなえつける） 提供，安裝，裝修 
すると 於是，就 
かんじん 重要的，關鍵的 
念のため（ねんのため） 謹慎起見 
内視鏡（ないしきょう） 內視鏡 
放免する（ほうめんする） 赦免，釋放 
羽目になる（はめになる） 遇到麻煩 
問診表（もんしんひょう） 問診表 
抑える（おさえる） 控制，抑制 
タイ 鯛魚 
深々と（ふかぶかと）深深地 
のぞき込む（のぞきこむ） 凝視 
ピンセット 小鉗子，鑷子 
抜き取る（ぬきとる） 拔出，斷開 
小骨（こぼね） 細骨頭 
しげしげながめ 再三打量 
呟く（つぶやく） 喃喃自語 
標本（ひょうほん） 標本 
こしらえる 製做 
セロテープ 透明膠帶 
貼り付ける（はりつける） 貼上，黏上 
同行（どうこう） 同行 
難儀する（なんぎする） 苦惱，苦於 
解る（わかる） 理解 
くだん 事情，事件 
たまたま 碰巧，偶然 
なかなか 相當，很 
ふっくら 豐滿的，鬆軟的 
感触（かんしょく） 感觸，觸感 
憶える（おぼえる） 想念，懷念 
